車種名,モデル,グレード,支払総額,年式,走行距離,修復歴,ミッション,排気量,取得日時,取得日,取得時刻,ソースURL,車両URL
スカイライン,情報なし,3.0 GT タイプP 本革シート/メーカーナビ/クルコン/ETC2.0,201.6万円,2019(R01),2.7万km,あり,フロアMTモード付7AT,3000CC,2025-06-20T23:37:54.258305,2025-06-20,23:37:54,https://www.carsensor.net/usedcar/index.html?STID=CS210610&AR=&BRDC=&CARC=NI_S030&NINTEI=&CSHOSHO=,https://www.carsensor.net/usedcar/detail/AU6379655992/index.html?TRCD=200002&RESTID=CS210610
スカイライン,情報なし,3.0 400R 黒本革シート　アラウンドビューモニター,367.3万円,2019(R01),0.6万km,なし,フロアMTモード付7AT,3000CC,2025-06-20T23:37:54.261012,2025-06-20,23:37:54,https://www.carsensor.net/usedcar/index.html?STID=CS210610&AR=&BRDC=&CARC=NI_S030&NINTEI=&CSHOSHO=,https://www.carsensor.net/usedcar/detail/AU6140161641/index.html?TRCD=200002&RESTID=CS210610&LOAN=TSUJO
スカイライン,情報なし,3.5 350GT ハイブリッド タイプP BOSEサウンド　全方位運転支援システム,164.9万円,2018(H30),7万km,なし,フロアMTモード付7AT,3500CC,2025-06-20T23:37:54.263714,2025-06-20,23:37:54,https://www.carsensor.net/usedcar/index.html?STID=CS210610&AR=&BRDC=&CARC=NI_S030&NINTEI=&CSHOSHO=,https://www.carsensor.net/usedcar/detail/AU6345235239/index.html?TRCD=200002&RESTID=CS210610&LOAN=TSUJO
スカイライン,情報なし,2.0 200GT-t 純正ナビ　クルコン　ETC　バックカメラ,99.8万円,2015(H27),6万km,なし,フロア7AT,2000CC,2025-06-20T23:37:54.266468,2025-06-20,23:37:54,https://www.carsensor.net/usedcar/index.html?STID=CS210610&AR=&BRDC=&CARC=NI_S030&NINTEI=&CSHOSHO=,https://www.carsensor.net/usedcar/detail/AU6363325555/index.html?TRCD=200002&RESTID=CS210610&LOAN=TSUJO
スカイライン,情報なし,3.0 GT タイプP 純正ナビ/TV/アラモニ/BOSE/ETC/,432.3万円,2024(R06),510km,なし,フロア7AT,3000CC,2025-06-20T23:37:54.268634,2025-06-20,23:37:54,https://www.carsensor.net/usedcar/index.html?STID=CS210610&AR=&BRDC=&CARC=NI_S030&NINTEI=&CSHOSHO=,https://www.carsensor.net/usedcar/detail/AU6213327275/index.html?TRCD=200002&RESTID=CS210610&LOAN=TSUJO
スカイライン,情報なし,3.0 GT タイプP 後期 全方位運転支援 ベージュ革 禁煙車,269.9万円,2019(R01),3万km,なし,フロアMTモード付7AT,3000CC,2025-06-20T23:37:54.271340,2025-06-20,23:37:54,https://www.carsensor.net/usedcar/index.html?STID=CS210610&AR=&BRDC=&CARC=NI_S030&NINTEI=&CSHOSHO=,https://www.carsensor.net/usedcar/detail/AU6338974469/index.html?TRCD=200002&RESTID=CS210610&LOAN=TSUJO
スカイライン,情報なし,3.5 350GT ハイブリッド タイプSP 純正ナビ フルセグ 全周囲カメラ ETC BOSE,139.7万円,2016(H28),6.3万km,なし,フロアMTモード付7AT,3500CC,2025-06-20T23:37:54.274033,2025-06-20,23:37:54,https://www.carsensor.net/usedcar/index.html?STID=CS210610&AR=&BRDC=&CARC=NI_S030&NINTEI=&CSHOSHO=,https://www.carsensor.net/usedcar/detail/AU6291384798/index.html?TRCD=200002&RESTID=CS210610&LOAN=TSUJO
スカイライン,情報なし,3.0 GT タイプP 安全装備　全周囲カメラ　ETC2.0,333.2万円,2022(R04),0.5万km,なし,フロアMTモード付7AT,3000CC,2025-06-20T23:37:54.276652,2025-06-20,23:37:54,https://www.carsensor.net/usedcar/index.html?STID=CS210610&AR=&BRDC=&CARC=NI_S030&NINTEI=&CSHOSHO=,https://www.carsensor.net/usedcar/detail/AU6387565867/index.html?TRCD=200002&RESTID=CS210610
スカイライン,情報なし,3.5 ハイブリッド GT プロパイロット2.0 メーカーナビ,199.9万円,2020(R02),6万km,なし,フロア7AT,3500CC,2025-06-20T23:37:54.279356,2025-06-20,23:37:54,https://www.carsensor.net/usedcar/index.html?STID=CS210610&AR=&BRDC=&CARC=NI_S030&NINTEI=&CSHOSHO=,https://www.carsensor.net/usedcar/detail/AU6303483829/index.html?TRCD=200002&RESTID=CS210610&LOAN=TSUJO
スカイライン,情報なし,3.5 350GT ハイブリッド タイプP 1オーナー 全方位カメラ  本革シート LED,108.8万円,2014(H26),9.9万km,なし,フロアMTモード付7AT,3500CC,2025-06-20T23:37:54.281953,2025-06-20,23:37:54,https://www.carsensor.net/usedcar/index.html?STID=CS210610&AR=&BRDC=&CARC=NI_S030&NINTEI=&CSHOSHO=,https://www.carsensor.net/usedcar/detail/AU6267933789/index.html?TRCD=200002&RESTID=CS210610
