車種名,モデル,グレード,支払総額,年式,走行距離,修復歴,ミッション,排気量,取得日時,取得日,取得時刻,ソースURL,車両URL
フェアレディZ,情報なし,3.7 後期型 パナソニックナビ バックカメラ,289.9万円,2020(R02),3.3万km,なし,フロアMTモード付7AT,3700CC,2025-06-18T23:34:26.025078,2025-06-18,23:34:26,https://www.carsensor.net/usedcar/index.html?STID=CS210610&AR=&BRDC=&CARC=NI_S026&NINTEI=&CSHOSHO=,https://www.carsensor.net/usedcar/detail/AU6226365465/index.html?TRCD=200002&RESTID=CS210610&LOAN=TSUJO
フェアレディZ,情報なし,3.0 バージョン T 初度R7年3月 走行距離24km ワンガンブルー,587.4万円,2025(R07),24km,なし,フロアMTモード付9AT,2990CC,2025-06-18T23:34:26.027770,2025-06-18,23:34:26,https://www.carsensor.net/usedcar/index.html?STID=CS210610&AR=&BRDC=&CARC=NI_S026&NINTEI=&CSHOSHO=,https://www.carsensor.net/usedcar/detail/AU6378220803/index.html?TRCD=200002&RESTID=CS210610&LOAN=TSUJO
フェアレディZ,情報なし,3.7 バージョン ST 6速MT HIDヘッドライト シートヒーター,419.9万円,2021(R03),1.6万km,なし,フロア6MT,3700CC,2025-06-18T23:34:26.030484,2025-06-18,23:34:26,https://www.carsensor.net/usedcar/index.html?STID=CS210610&AR=&BRDC=&CARC=NI_S026&NINTEI=&CSHOSHO=,https://www.carsensor.net/usedcar/detail/AU6192069917/index.html?TRCD=200002&RESTID=CS210610&LOAN=TSUJO
フェアレディZ,情報なし,3.0 バージョン T BOSE・TV・ナビ・バックカメラ・ETC2.0,519.8万円,2024(R06),0.6万km,なし,フロアMTモード付9AT,3000CC,2025-06-18T23:34:26.033201,2025-06-18,23:34:26,https://www.carsensor.net/usedcar/index.html?STID=CS210610&AR=&BRDC=&CARC=NI_S026&NINTEI=&CSHOSHO=,https://www.carsensor.net/usedcar/detail/AU6146367966/index.html?TRCD=200002&RESTID=CS210610&LOAN=TSUJO
フェアレディZ,情報なし,3.7 MOPナビ/Bカメ/フルセグ/ドラレコ/純18AW,269.8万円,2015(H27),4.8万km,なし,フロア7AT,3700CC,2025-06-18T23:34:26.035942,2025-06-18,23:34:26,https://www.carsensor.net/usedcar/index.html?STID=CS210610&AR=&BRDC=&CARC=NI_S026&NINTEI=&CSHOSHO=,https://www.carsensor.net/usedcar/detail/AU6386133149/index.html?TRCD=200002&RESTID=CS210610
フェアレディZ,情報なし,3.7 バージョン ST ワンオーナー　外ナビ　フルセグTV,278万円,2016(H28),2.1万km,なし,フロアMTモード付7AT,3700CC,2025-06-18T23:34:26.038725,2025-06-18,23:34:26,https://www.carsensor.net/usedcar/index.html?STID=CS210610&AR=&BRDC=&CARC=NI_S026&NINTEI=&CSHOSHO=,https://www.carsensor.net/usedcar/detail/AU6314543204/index.html?TRCD=200002&RESTID=CS210610&LOAN=TSUJO
フェアレディZ,情報なし,3.7 禁煙車　ワンオーナー,393.3万円,2021(R03),1.9万km,なし,フロア6MT,3700CC,2025-06-18T23:34:26.040906,2025-06-18,23:34:26,https://www.carsensor.net/usedcar/index.html?STID=CS210610&AR=&BRDC=&CARC=NI_S026&NINTEI=&CSHOSHO=,https://www.carsensor.net/usedcar/detail/AU6312981143/index.html?TRCD=200002&RESTID=CS210610
フェアレディZ,情報なし,3.0 バージョン ST ワンオーナー　禁煙車　セキュリティパック,610.5万円,2023(R05),0.6万km,なし,フロアMTモード付9AT,3000CC,2025-06-18T23:34:26.043793,2025-06-18,23:34:26,https://www.carsensor.net/usedcar/index.html?STID=CS210610&AR=&BRDC=&CARC=NI_S026&NINTEI=&CSHOSHO=,https://www.carsensor.net/usedcar/detail/AU6330764034/index.html?TRCD=200002&RESTID=CS210610&LOAN=ZNK
フェアレディZ,情報なし,3.7 バージョン T ナビ バックカメラ パワーシート ETC,199.8万円,2013(H25),2.6万km,なし,フロアMTモード付7AT,3700CC,2025-06-18T23:34:26.046420,2025-06-18,23:34:26,https://www.carsensor.net/usedcar/index.html?STID=CS210610&AR=&BRDC=&CARC=NI_S026&NINTEI=&CSHOSHO=,https://www.carsensor.net/usedcar/detail/AU6264927187/index.html?TRCD=200002&RESTID=CS210610
フェアレディZ,情報なし,3.7 ヘリテージエディション 純正フルセグナビ　　6速MT　Bカメラ,407.7万円,2018(H30),0.6万km,なし,フロア6MT,3700CC,2025-06-18T23:34:26.049139,2025-06-18,23:34:26,https://www.carsensor.net/usedcar/index.html?STID=CS210610&AR=&BRDC=&CARC=NI_S026&NINTEI=&CSHOSHO=,https://www.carsensor.net/usedcar/detail/AU6251281152/index.html?TRCD=200002&RESTID=CS210610&LOAN=TSUJO
フェアレディZ,情報なし,3.0 6MT BOSEサウンド 1オーナー コネクトナビ,554.9万円,2024(R06),0.1万km,なし,フロア6MT,3000CC,2025-06-18T23:34:26.051968,2025-06-18,23:34:26,https://www.carsensor.net/usedcar/index.html?STID=CS210610&AR=&BRDC=&CARC=NI_S026&NINTEI=&CSHOSHO=,https://www.carsensor.net/usedcar/detail/AU6181411381/index.html?TRCD=200002&RESTID=CS210610&LOAN=TSUJO
フェアレディZ,情報なし,3.7 バージョン S 純正フルセグナビ　6速MT ドレラコ ETC,398.3万円,2020(R02),2.4万km,なし,フロア6MT,3700CC,2025-06-18T23:34:26.054316,2025-06-18,23:34:26,https://www.carsensor.net/usedcar/index.html?STID=CS210610&AR=&BRDC=&CARC=NI_S026&NINTEI=&CSHOSHO=,https://www.carsensor.net/usedcar/detail/AU6081878702/index.html?TRCD=200002&RESTID=CS210610&LOAN=TSUJO
フェアレディZ,情報なし,3.7 バージョン ST 1オーナ 6MT BOSE 電動シート 特別塗装色,214万円,2013(H25),9.6万km,なし,フロア6MT,3700CC,2025-06-18T23:34:26.057105,2025-06-18,23:34:26,https://www.carsensor.net/usedcar/index.html?STID=CS210610&AR=&BRDC=&CARC=NI_S026&NINTEI=&CSHOSHO=,https://www.carsensor.net/usedcar/detail/AU6374826838/index.html?TRCD=200002&RESTID=CS210610
フェアレディZ,情報なし,3.7 バージョン T TVナビ Bカメラ 電圧計 油温計 BOSE 後期型,246.8万円,2018(H30),4.5万km,なし,フロアMTモード付7AT,3700CC,2025-06-18T23:34:26.059946,2025-06-18,23:34:26,https://www.carsensor.net/usedcar/index.html?STID=CS210610&AR=&BRDC=&CARC=NI_S026&NINTEI=&CSHOSHO=,https://www.carsensor.net/usedcar/detail/AU6048118142/index.html?TRCD=200002&RESTID=CS210610&LOAN=ZNK
フェアレディZ,情報なし,3.0 6速MT 純正ディスプレイオーディオ,569.9万円,2024(R06),0.1万km,なし,フロア6MT,3000CC,2025-06-18T23:34:26.062731,2025-06-18,23:34:26,https://www.carsensor.net/usedcar/index.html?STID=CS210610&AR=&BRDC=&CARC=NI_S026&NINTEI=&CSHOSHO=,https://www.carsensor.net/usedcar/detail/AU6077123901/index.html?TRCD=200002&RESTID=CS210610&LOAN=TSUJO
フェアレディZ,情報なし,3.7 ヘリテージエディション 純正フルセグナビ　純正アルミ　ETC,373.7万円,2019(H31),0.8万km,なし,フロア7AT,3700CC,2025-06-18T23:34:26.065455,2025-06-18,23:34:26,https://www.carsensor.net/usedcar/index.html?STID=CS210610&AR=&BRDC=&CARC=NI_S026&NINTEI=&CSHOSHO=,https://www.carsensor.net/usedcar/detail/AU6273767954/index.html?TRCD=200002&RESTID=CS210610&LOAN=TSUJO
フェアレディZ,情報なし,3.0 バージョン ST BOSEサウンド,606万円,2022(R04),0.4万km,なし,フロアMTモード付9AT,3000CC,2025-06-18T23:34:26.068200,2025-06-18,23:34:26,https://www.carsensor.net/usedcar/index.html?STID=CS210610&AR=&BRDC=&CARC=NI_S026&NINTEI=&CSHOSHO=,https://www.carsensor.net/usedcar/detail/AU6286812190/index.html?TRCD=200002&RESTID=CS210610&LOAN=TSUJO
フェアレディZ,情報なし,3.7 バージョン T 純正ナビ 全席パワーシート バックカメラ,214.8万円,2016(H28),6.5万km,なし,フロア7AT,3700CC,2025-06-18T23:34:26.070901,2025-06-18,23:34:26,https://www.carsensor.net/usedcar/index.html?STID=CS210610&AR=&BRDC=&CARC=NI_S026&NINTEI=&CSHOSHO=,https://www.carsensor.net/usedcar/detail/AU6249445508/index.html?TRCD=200002&RESTID=CS210610
フェアレディZ,情報なし,3.7 NISMO 1オーナー 純正ナビ レカロシート ETC,308.9万円,2020(R02),10.6万km,なし,フロア6MT,3700CC,2025-06-18T23:34:26.073694,2025-06-18,23:34:26,https://www.carsensor.net/usedcar/index.html?STID=CS210610&AR=&BRDC=&CARC=NI_S026&NINTEI=&CSHOSHO=,https://www.carsensor.net/usedcar/detail/AU6275006679/index.html?TRCD=200002&RESTID=CS210610&LOAN=TSUJO
